Title,SearchName,Number,Transcript,Speaker,Line,LineEnd,MatchId,URL,Before Match,Text,After Match,Target word,Target word start,Target word end,Target phonemes,Target orthography,Target segment,Target segment start,Target segment end
Search results,phonemes=.*6[pbtdkgfvTDszSZhJ_mnNlrwjFHP] segment=6,1,CB01interview1.eaf,Barbara Johnstone,20.86,29.431,g_352;em_12_107932;n_3092553-n_4584645;p_146;#=es_1_1767198;prefix=0001-;[0]=ew_0_685107;[1]=ew_0_685107,https://apls.pitt.edu/labbcat/transcript?transcript=CB01interview1.eaf#ew_0_685107,for,our,own,our,27.73,27.83,6r,our,6,27.73,27.759999999999998
Search results,phonemes=.*6[pbtdkgfvTDszSZhJ_mnNlrwjFHP] segment=6,2,CB01interview1.eaf,Barbara Johnstone,238.681,239.999,g_352;em_12_108054;n_3092671-n_4584700;p_146;#=es_1_1767905;prefix=0002-;[0]=ew_0_685768;[1]=ew_0_685768,https://apls.pitt.edu/labbcat/transcript?transcript=CB01interview1.eaf#ew_0_685768,what,about,your,about,239.211,239.33100000000002,@b6t,about,6,239.27100000000002,239.30100000000002
Search results,phonemes=.*6[pbtdkgfvTDszSZhJ_mnNlrwjFHP] segment=6,3,CB01interview1.eaf,Barbara Johnstone,292.01800000000003,294.228,g_352;em_12_108083;n_3092697-n_4584714;p_146;#=es_1_1768027;prefix=0003-;[0]=ew_0_685933;[1]=ew_0_685933,https://apls.pitt.edu/labbcat/transcript?transcript=CB01interview1.eaf#ew_0_685933,my,hometown,,hometown,293.59799999999996,294.078,h5mt6n,hometown,6,293.89799999999997,294.018
Search results,phonemes=.*6[pbtdkgfvTDszSZhJ_mnNlrwjFHP] segment=6,4,CB01interview2.eaf,Barbara Johnstone,119.593,122.137,g_353;em_12_108579;n_3097998-n_4584878;p_146;#=es_1_1769656;prefix=0004-;[0]=ew_0_688639;[1]=ew_0_688639,https://apls.pitt.edu/labbcat/transcript?transcript=CB01interview2.eaf#ew_0_688639,talking,about .,and,about .,120.503,120.723,@b6t,about,6,120.563,120.693
Search results,phonemes=.*6[pbtdkgfvTDszSZhJ_mnNlrwjFHP] segment=6,5,CB01interview2.eaf,Barbara Johnstone,205.334,205.848,g_353;em_12_108629;n_3098049-n_4584902;p_146;#=es_1_1769974;prefix=0005-;[0]=ew_0_688900;[1]=ew_0_688900,https://apls.pitt.edu/labbcat/transcript?transcript=CB01interview2.eaf#ew_0_688900,that,about ?,,about ?,205.514,205.744,@b6t,about,6,205.574,205.714
Search results,phonemes=.*6[pbtdkgfvTDszSZhJ_mnNlrwjFHP] segment=6,6,CB01interview2.eaf,Barbara Johnstone,240.621,241.834,g_353;em_12_108651;n_3098069-n_4584908;p_146;#=es_1_1770007;prefix=0006-;[0]=ew_0_689001;[1]=ew_0_689001,https://apls.pitt.edu/labbcat/transcript?transcript=CB01interview2.eaf#ew_0_689001,comes,out,later,out,240.821,241.02100000000002,6t,out,6,240.821,240.98100000000002
Search results,phonemes=.*6[pbtdkgfvTDszSZhJ_mnNlrwjFHP] segment=6,7,CB01interview2.eaf,Barbara Johnstone,259.837,260.947,g_353;em_12_108672;n_3098091-n_4584914;p_146;#=es_1_1770074;prefix=0007-;[0]=ew_0_689068;[1]=ew_0_689068,https://apls.pitt.edu/labbcat/transcript?transcript=CB01interview2.eaf#ew_0_689068,stuff,out,there,out,260.54699999999997,260.687,6t,out,6,260.54699999999997,260.647
Search results,phonemes=.*6[pbtdkgfvTDszSZhJ_mnNlrwjFHP] segment=6,8,CB01interview2.eaf,Barbara Johnstone,354.538,360.357,g_353;em_12_108725;n_3098140-n_4584944;p_146;#=es_1_1770283;prefix=0008-;[0]=ew_0_689395;[1]=ew_0_689395,https://apls.pitt.edu/labbcat/transcript?transcript=CB01interview2.eaf#ew_0_689395,questions,about,,about,360.068,360.32800000000003,@b6t,about,6,360.158,360.25800000000004
Search results,phonemes=.*6[pbtdkgfvTDszSZhJ_mnNlrwjFHP] segment=6,9,CB01interview2.eaf,Barbara Johnstone,448.85,451.964,g_353;em_12_108772;n_3098186-n_4584958;p_146;#=es_1_1770500;prefix=0009-;[0]=ew_0_689687;[1]=ew_0_689687,https://apls.pitt.edu/labbcat/transcript?transcript=CB01interview2.eaf#ew_0_689687,what,about,national,about,449.18,449.39000000000004,@b6t,about,6,449.28000000000003,449.36
Search results,phonemes=.*6[pbtdkgfvTDszSZhJ_mnNlrwjFHP] segment=6,10,CB01interview2.eaf,Barbara Johnstone,489.942,494.624,g_353;em_12_108801;n_3098210-n_4584968;p_146;#=es_1_1770630;prefix=0010-;[0]=ew_0_689841;[1]=ew_0_689841,https://apls.pitt.edu/labbcat/transcript?transcript=CB01interview2.eaf#ew_0_689841,what,about,the,about,493.16200000000003,493.41200000000003,@b6t,about,6,493.262,493.342
